ID,DateOfBusiness,Dates,Month,Hour,Minute,Tableid,Seat,Longname,Quantity,Price,Calories,Check
1,1/8/2016,16-Jan,1,11,56,2097154,1,Cobb Salad,1,13,650,20002
2,1/8/2016,16-Jan,1,11,56,2097154,2,Cobb Salad,1,13,650,20029
3,1/8/2016,16-Jan,1,11,56,2097154,3,Cobb Salad,1,13,650,20030
4,1/8/2016,16-Jan,1,12,37,2097154,1,Key Lime Brulee,1,7,530,20002
5,1/8/2016,16-Jan,1,12,37,2097154,2,Coffee,1,4,5,20029
6,1/8/2016,16-Jan,1,12,37,2097154,3,Coffee,1,4,5,20030
7,1/8/2016,16-Jan,1,12,8,3145734,1,Pelligrino,1,4,0,30006
8,1/8/2016,16-Jan,1,12,8,3145734,1,Medi Wrap,1,11,490,30006
9,1/8/2016,16-Jan,1,12,8,3145734,2,B.L.T.,1,14,550,30006
10,1/8/2016,16-Jan,1,12,20,2097161,1,Lobster Roll,1,21,550,20010
11,1/8/2016,16-Jan,1,12,20,2097161,2,Grouper Sand,1,12,620,20010
12,1/8/2016,16-Jan,1,12,34,2097166,4,Founders DT Ale,1,8,163,20017
13,1/8/2016,16-Jan,1,12,34,2097166,1,Shoestring FF,1,4,320,20017
14,1/8/2016,16-Jan,1,12,34,2097166,2,Shoestring FF,1,4,320,20017
15,1/8/2016,16-Jan,1,12,34,2097166,3,Caesar Salad,1,9,500,20017
16,1/8/2016,16-Jan,1,12,34,2097166,4,Shoestring FF,1,4,320,20017
17,1/8/2016,16-Jan,1,12,34,2097166,5,Cobb Salad,1,13,650,20017
18,1/8/2016,16-Jan,1,12,34,2097166,6,B.L.T.,1,14,550,20017
19,1/8/2016,16-Jan,1,12,46,1048588,1,Cobb Salad,1,13,650,10012
20,1/8/2016,16-Jan,1,12,46,1048588,2,Grouper Sand,1,12,620,10012
21,1/8/2016,16-Jan,1,13,12,3145735,1,Lobster Roll,1,21,550,30007
22,1/8/2016,16-Jan,1,13,12,3145735,2,Shoestring FF,1,4,320,20038
23,1/8/2016,16-Jan,1,13,23,2097178,1,Medi Wrap,1,11,490,20034
