nid,id,Latitude,Longitude,Overall_Rating,Number_Reviews,Price_Levels,Food_Rating,Service_Rating,Value_Rating,Atmosphere,Name
1,8451,50.57445,5.546209,3,13,1,3,3.5,4,NA,"Lunch Garden, Boncelles"
2,10829,49.507158,5.474825,4.5,127,4,4.5,4.5,4,4.5,"La Grappe D'or, Torgny"
3,10830,49.508072,5.473907,3,15,2.5,3.5,3.5,4,NA,"La Romanette, Torgny"
4,10463,49.564514,5.832953,4.5,20,9,4.5,4,4.5,NA,"Friterie Dewit, Aubange"
5,10464,49.564957,5.812449,4,39,9,4,4,3.5,3.5,"La Corte dei Sapori, Aubange"
6,8660,49.565307,5.531575,4.5,73,2.5,4.5,4.5,4,NA,"La Mangeoire, Virton"
7,8665,49.566193,5.532479,4,24,9,4,3.5,4,3.5,"Le Majorelle, Virton"
8,8664,49.567102,5.533169,4,25,2.5,4,4.5,4,4,"Le Marmiton, Virton"
9,8659,49.567132,5.533161,4.5,110,2.5,4.5,4.5,4.5,4.5,"L'escalier, Virton"
10,8658,49.567136,5.534569,4.5,134,2.5,4.5,4.5,4.5,4,"Le Franklin, Virton"
11,8663,49.579629,5.581721,4.5,25,2.5,4.5,4,4.5,5,"Au Coeur de la Gaume, Virton"
12,8661,49.579707,5.580936,4.5,50,4,4.5,4.5,4.5,4.5,"Le Lion d'Or, Virton"
13,10034,49.605279,5.811442,4.5,33,9,5,4.5,4,4,"Chez Tchoutchou, Messancy"
14,10038,49.623858,5.810347,2.5,71,2.5,3,3,2.5,3,"Chichi's, Messancy"
15,11055,49.636033,5.34678,3.5,36,9,4,3.5,4,NA,hostellerie D'orval
16,6386,49.637168,5.890512,3,22,1,3,3,4,3,"Ikea, Arlon"
17,10036,49.639999,5.815509,3.5,57,2.5,3,3,3,3.5,"Vaudree 7, Messancy"
18,6352,49.650149,5.779315,4.5,135,4,4.5,4,4,4,"La Regalade, Arlon"
19,6392,49.653074,5.819756,2.5,52,1,3,3,3,2.5,"Pizza Hut, Arlon"
20,11123,49.674692,5.550184,5,67,1,5,5,4.5,5,"Frank Frites & Burgers, Sainte-Marie-sur-Semois"
21,6375,49.675266,5.824204,4,30,1,4.5,3.5,4.5,3.5,"Friterie de la Spetz, Arlon"
22,6381,49.677255,5.824446,3.5,19,9,3.5,3,4,NA,"Lunch Garden, Arlon"
23,6371,49.682212,5.811662,3.5,66,2.5,4,4,3.5,4,"Pizzeria Trulli, Arlon"
24,6365,49.682856,5.813103,4,25,9,4,4,4,NA,"Brasserie TWINS, Arlon"
25,6373,49.68314,5.814624,3.5,69,2.5,4,3.5,4,3.5,"pinocchio, Arlon"
26,6379,49.683297,5.813248,4,21,9,4,4,4,3.5,"L'Arlequin, Arlon"
27,6385,49.683374,5.813108,3.5,19,2.5,4,3.5,4,4,"A L'Ecu de Bourgogne Hotel- Brasserie, Arlon"
28,6380,49.683673,5.815573,3.5,38,9,3.5,4,4,4,"Le Dean, Arlon"
29,6378,49.683775,5.818313,4.5,16,1,4,4.5,4.5,5,"Le Chantilly, Arlon"
30,6367,49.683787,5.814578,4,19,2.5,4.5,4.5,3.5,NA,"Maison Knopes, Arlon"
31,6388,49.683866,5.814451,3,18,2.5,2.5,3,3,2,"Le Palais D'Asie, Arlon"
32,6370,49.684034,5.814468,4,12,9,4,3.5,3.5,NA,"Chez Geppetto, Arlon"
33,6382,49.684283,5.813624,4,18,2.5,4,4,3.5,3.5,Cocoon Arlon
34,6374,49.684634,5.812487,3.5,44,2.5,3.5,4,3.5,3.5,"Chez Faty, Arlon"
35,6355,49.684641,5.811102,4.5,93,2.5,4,4.5,4,4.5,"Le Kalinka, Arlon"
36,6363,49.684736,5.813311,4,87,2.5,4,4,3.5,4,"Wasabi Restaurant, Arlon"
37,6366,49.684825,5.813375,4,63,2.5,4,4,4,3.5,"La Table de Marie, Arlon"
38,6353,49.684926,5.813187,4,144,2.5,4.5,4,4,4,"Le Fils de Paul, Arlon"
39,6384,49.684942,5.810409,3.5,29,9,3.5,3.5,3.5,4,"Western Spaghetti, Arlon"
40,6356,49.685352,5.813924,4,87,2.5,4.5,4.5,4,3.5,"Da Franco's, Arlon"
41,6358,49.685354,5.813909,4,114,2.5,4,4,4,4,"Zorba Le Grec, Arlon"
42,6361,49.685609,5.810759,3.5,137,2.5,4,4,3.5,4,"Faubourg 101, Arlon"
43,6389,49.685733,5.814467,3.5,69,2.5,4,3.5,3.5,4,"La Couscoussiere, Arlon"
44,6387,49.688533,5.79297,3,57,1,3,3.5,3.5,3,"Royal Wok, Arlon"
45,9488,49.697986,5.309974,3.5,19,9,3.5,3.5,3.5,3,"L'Etoile de Chine, Florenville"
46,9485,49.698183,5.307708,4.5,44,9,4.5,4.5,4.5,4,"Le Syrtaki, Florenville"
47,9489,49.698308,5.310749,3,61,2.5,3.5,3.5,3,4,"Brasserie Albert 1er, Florenville"
48,9482,49.698731,5.311656,4,173,2.5,4,4,4,4,"Le Relais Des Oliviers, Florenville"
