vehrated,gasmile,value4money,lurxurious,safety,ride_offroad,price,sporty,good_looking,family_use,fun2drive,passenger_room,cargo_space,tech_adv,Ford,GM
Suburban,4.4,6.41,6.37,7.53,6.68,5.93,6.11,6.88,8.05,6.98,8.13,8.09,6.77,0,1
Tahoe,4.93,6.36,6.48,7.31,6.79,6.14,6.64,7.28,7.68,7.22,7.5,7.37,6.62,0,1
Expedition,4.49,5.97,6.32,7.01,6.28,5.85,6.21,6.85,7.44,6.75,7.44,7.2,6.58,1,0
RangeRover,4.63,5.42,6.1,6.76,6.83,4.83,6.01,5.83,6.32,6.52,6.31,6.27,6.48,0,0
LandCruiser,4.96,5.8,6.37,6.85,6.39,5.06,6.16,6.39,6.72,6.63,6.53,6.29,6.54,0,0
Excursion,3.97,5.52,6.14,6.96,6.05,5.15,5.71,6.17,7.26,6.29,7.56,7.48,6.41,1,0
Navigator,4.54,5.63,7.91,7.33,6.09,4.91,6.19,7.42,7.37,7.1,7.61,7.33,7.26,1,0
LexusLX470,5.18,5.52,7.89,7.15,5.7,4.51,6.13,6.99,6.73,6.94,6.52,6.28,7.21,0,0
Toy_Sequoia,5.07,6,6.2,6.73,5.93,5.4,6.16,6.49,6.83,6.49,6.52,6.26,6.49,0,0
HummerH1,3.78,4.67,5.25,6.96,7.41,4.01,6.08,5.41,4.96,6.94,6.36,6.2,6.63,0,1
Escalade EXT,4.68,5.57,8.12,7.32,6.02,4.72,6.17,7.33,7.24,7.12,7.49,7.03,7.39,0,1
YukonXL,4.8,6.21,6.56,7.24,6.63,5.82,6.56,7.16,7.7,7.21,7.69,7.53,6.73,0,1
MercedesG_Class,5.1,5.51,7.91,7.21,5.7,4.4,6.01,6.89,6.58,6.78,6.52,6.08,7.19,0,0
