age,duration,previous,y
28,200,0,no
53,91,0,no
29,82,0,no
36,90,2,no
29,284,0,no
75,67,0,no
35,56,2,no
40,105,1,no
49,55,0,no
34,108,0,no
36,120,0,no
48,142,0,no
39,393,0,no
38,157,0,no
36,229,0,no
36,127,0,no
46,207,0,no
30,162,2,no
32,203,0,no
43,274,1,no
26,126,0,no
38,382,0,no
29,43,1,no
46,67,0,no
52,18,0,no
26,256,0,no
39,375,0,no
32,65,0,no
56,197,0,no
30,80,0,no
36,201,0,no
35,140,0,no
32,157,0,no
35,58,0,no
34,195,1,no
37,230,0,no
35,220,1,no
48,138,0,no
53,414,1,no
41,149,0,no
32,394,0,yes
30,178,0,no
36,232,0,no
31,50,0,no
49,64,0,no
33,296,1,no
44,171,0,no
49,238,0,no
24,170,0,no
30,161,0,yes
36,110,0,no
41,7,0,no
49,70,0,no
31,278,0,no
35,192,0,no
43,191,0,no
31,242,0,no
49,192,0,no
57,283,1,no
44,42,0,no
62,172,0,yes
58,269,0,no
47,216,0,no
32,133,0,no
35,192,0,no
48,130,0,no
48,642,0,no
34,157,1,no
26,7,0,no
26,135,1,no
33,614,0,yes
23,184,0,no
22,245,0,no
46,155,0,no
56,252,0,no
55,133,1,no
34,186,0,no
46,152,0,no
35,195,1,no
57,224,1,yes
53,52,0,no
39,185,0,no
26,142,0,no
28,174,0,no
46,403,1,no
43,356,0,no
34,772,0,yes
37,131,0,no
55,278,0,no
52,253,0,no
35,328,0,no
36,100,0,no
52,202,0,no
33,482,0,yes
34,541,1,no
44,105,0,no
36,10,0,no
36,171,0,no
37,918,0,yes
55,86,0,no
39,116,0,no
34,924,0,no
46,446,0,no
32,155,1,yes
30,107,0,no
45,484,0,no
44,189,0,no
56,163,0,no
50,434,0,yes
37,283,0,no
62,167,0,no
35,270,0,yes
40,107,0,no
60,50,0,no
43,155,0,no
33,26,0,no
39,479,0,no
41,19,0,no
48,98,0,no
32,199,0,no
36,331,4,yes
58,138,0,no
51,253,0,no
41,665,0,no
34,319,1,no
36,744,0,no
30,159,0,no
31,406,0,no
33,113,0,no
46,174,1,no
32,183,0,no
46,257,0,no
32,15,0,no
49,85,0,no
53,168,1,no
50,116,1,no
49,49,0,no
32,377,0,no
56,361,4,no
44,464,0,no
39,311,0,no
53,179,0,no
39,29,0,no
31,91,0,no
38,250,0,no
31,187,0,no
27,310,0,no
39,205,0,no
31,110,0,no
27,10,0,no
36,75,0,no
52,115,0,no
31,305,0,no
35,33,0,no
35,218,0,no
41,556,0,no
29,112,0,no
45,226,0,no
26,114,0,no
39,172,0,no
42,408,0,no
30,244,0,yes
35,151,0,no
31,239,0,no
47,282,0,no
56,245,0,no
30,205,0,no
51,151,0,no
47,222,1,no
35,116,0,no
34,73,0,no
47,391,1,no
30,1015,0,yes
46,518,0,no
26,200,0,no
29,157,0,yes
31,189,0,no
25,92,1,no
33,52,0,no
38,321,0,no
32,80,0,no
30,151,0,no
33,64,0,no
51,214,0,no
34,159,1,no
35,123,0,no
36,473,0,no
36,430,0,no
57,169,3,yes
29,520,0,yes
38,715,1,yes
43,75,0,no
27,182,0,no
30,475,0,yes
43,8,0,no
55,81,0,no
51,446,0,no
36,121,0,no
