Export Interests,Export Interests,Employee Size,Firm Revenue (million),Years of Ops in Domestic Market,Number of Products,Z Score,Predicted (0.277) Classification
3,2,54,4,6.5,7,1.4595,2
2,1,45,2,6,6,-0.009,1
1,1,44,2,5.8,11,-0.183,1
3,2,46,1,7,3,0.77,2
3,2,46,3,6.5,8,0.6755,2
1,1,37,0.9,5,2,-1.7659,1
1,1,42,0.9,5,2,-1.3459,1
2,1,29,3.6,6.5,3,-0.7601,1
2,1,46,0.9,6,5,-0.0839,1
1,1,28,0.9,6,2,-1.6469,1
3,2,39,3.6,7,3,0.5174,2
2,1,31,4,7,3,-0.103,1
3,2,65,1,7,9,2.468,2
1,1,50,1,7,9,1.208,2
3,2,30,2,7.5,3,-0.0075,1
3,2,58,1,6,5,0.937,2
2,1,54,2,6.5,4,1.1505,2
3,2,58,1,7,9,1.88,2
1,1,37,1,7,9,0.116,1
3,2,35,2,9.5,5,2.1965,2
3,2,49,2,8.5,4,2.4805,2
2,1,37,2,7,2,0.126,1
2,1,34,0.9,6,5,-1.0919,1
1,1,66,1,5.5,10,1.2565,2
3,2,50,0.3,6.5,6,0.6292,2
3,2,43,1,7,3,0.518,2
3,2,54,1,7,4,1.459,2
2,1,49,1,6.5,7,0.6525,2
2,1,43,1.8,6,2,-0.2708,1
1,1,52,1.8,5,7,-0.3048,1
3,2,29,0.9,4.5,11,-2.7224,1
1,1,37,0.9,5.5,2,-1.3284,1
2,1,27,0.9,7,3,-0.8389,1
1,1,32,0.9,6.5,3,-0.8564,1
2,1,34,2.7,6.5,2,-0.4732,1
2,1,48,1.8,5,4,-0.6918,1
3,2,53,0.9,4.5,5,-0.8084,1
3,2,41,0.9,5.5,2,-0.9924,1
3,2,47,2.7,5.5,4,-0.2222,1
1,1,31,1.8,6,4,-1.2448,1
2,1,34,0.9,6.5,3,-0.6884,1
1,1,28,0.9,7,2,-0.7719,1
1,1,39,0.9,5.5,2,-1.1604,1
1,1,45,0.9,5.5,4,-0.6224,1
1,1,29,1.8,7,2,-0.5718,1
1,1,37,1.8,6,3,-0.7578,1
1,1,49,0.9,4.5,9,-1.0764,1
1,1,33,0.9,6.5,2,-0.7894,1
2,1,27,1.8,7,3,-0.7228,1
1,1,49,1,5.5,6,-0.2395,1
3,2,46,1,6.5,4,0.3495,2
3,2,54,1,6,7,0.635,2
1,1,31,0.9,6,3,-1.3779,1
2,1,31,3,6,5,-1.073,1
2,1,50,2,6.5,7,0.8655,2
1,1,69,1,5.5,9,1.4915,2
3,2,34,1,7,6,-0.187,1
3,2,62,2,5.5,7,0.9985,2
2,1,49,1,7,5,1.056,2
3,2,43,2,7.5,4,1.1015,2
