Id,Export,Size,Revenue,Years,Numprod,Q1,Q2,Q3,Q4,TS1,TS2,TS3,SM1,SM2,SD1,SD2,SD3,SD4,SD5,SD6,SD7,INN1,INN2,INN3,OVERALL
1,High,54,4,6.5,7,8,8,5,9,7,6,6,7,6,9,9,7,7,6,9,9,8,6,6,8
2,Medium,45,2,6,6,9,9,9,9,10,10,10,9,9,9,9,9,9,9,8,10,9,9,9,10
3,Low,44,2,5.8,11,10,4,2,7,7,7,5,8,8,10,10,10,10,8,10,5,7,2,8,3
4,High,46,1,7,3,8,8,10,10,5,3,5,7,7,9,9,5,5,8,10,9,1,1,1,7
5,High,46,3,6.5,8,9,9,7,9,7,9,8,7,7,8,8,9,9,8,9,10,8,7,8,8
6,Low,37,0.9,5,2,8,8,8,8,10,8,10,9,10,8,8,8,8,10,10,8,8,8,8,9
7,Low,42,0.9,5,2,10,10,10,8,9,9,9,10,10,10,10,9,8,10,9,9,3,10,9,10
8,Medium,29,3.6,6.5,3,9,8,9,9,7,8,8,7,7,9,8,7,8,5,9,9,7,7,8,8
9,Medium,46,0.9,6,5,8,8,8,8,8,8,8,8,8,8,8,5,5,8,8,8,8,8,9,8
10,Low,28,0.9,6,2,9,10,9,9,8,9,7,10,10,10,10,9,10,10,9,10,9,9,7,10
11,High,39,3.6,7,3,8,8,9,10,8,9,10,10,9,8,8,8,8,8,8,9,9,10,8,10
12,Medium,31,4,7,3,5,10,5,10,5,3,5,8,2,5,5,5,5,5,7,9,3,5,5,5
13,High,65,1,7,9,8,7,6,8,6,8,7,7,7,8,8,8,8,9,9,9,9,6,7,7
14,Low,50,1,7,9,8,5,8,8,5,8,8,4,4,9,10,5,5,5,8,8,4,5,8,8
15,High,30,2,7.5,3,10,10,8,10,10,10,10,10,10,9,10,10,10,10,10,10,5,5,10,10
16,High,58,1,6,5,9,8,8,8,8,9,10,10,10,8,8,10,8,9,9,8,9,9,9,9
17,Medium,54,2,6.5,4,9,9,8,9,8,8,8,8,8,10,10,8,8,9,10,8,8,8,8,9
18,High,58,1,7,9,8,8,8,8,10,10,8,10,9,9,9,9,9,9,10,9,9,9,9,9
19,Low,37,1,7,9,10,9,8,8,10,8,8,9,10,8,9,10,10,8,9,9,9,9,9,10
20,High,35,2,9.5,5,8,8,8,8,8,8,9,8,8,8,8,8,8,8,8,8,9,9,9,9
21,High,49,2,8.5,4,9,10,9,9,7,8,8,9,9,10,10,8,8,8,9,10,8,7,2,9
22,Medium,37,2,7,2,9,9,9,10,9,10,10,9,9,10,9,10,7,10,10,10,8,8,9,9
23,Medium,34,0.9,6,5,8,9,8,8,8,8,8,10,9,10,8,9,10,9,10,8,7,10,8,10
24,Low,66,1,5.5,10,8,9,8,9,8,8,5,5,5,8,9,8,6,8,5,10,1,8,8,4
25,High,50,0.3,6.5,6,8,8,9,8,8,9,9,9,8,10,9,9,8,9,10,10,10,9,9,10
