Helpful,StarRatings,Tags,Days,Textual Messages,ID,,Number
305 of 338 people found the following review helpful,1,http://www.amazon.com/gp/review/R2SYVNOHSS5Y3S/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 11, 2014","Warning, this phone, despite being a Samsung Galaxy S5, DOES NOT come with 4G capability. I did not think it was possible for a phone, as new and advanced as the S5, to NOT have 4G capability. The first month I owned the phone, I thought I wasn't getting 4G due to poor network connections. Then I finally looked at my friend's phone, an older Samsung Note 3, and saw he had 4G. We both have the same network. Then I reread the specifications. Now I realized, why they included so much nonsense specifications such as: ""B10 (E-GSM 900MHz), B13 (DCS 1,800MHz), B14 (PCS 1,900MHz) 3G UMTS B1 (IMT 2,100MHz), B2 (PCS 1,900MHz), B5 (US 850MHz Cellular), B8 (GSM 900MHz)"" Have you ever read one cell phone review, mentioning any of the above specifications? No. All they are trying to do is HIDE the fact that it DOES NOT contain 4G. Thankfully, I called Amazon, complained, and as Amazon always seems to do, they saved the day by accepting a return with FULL refund =). Just FYI,Samsung S5 SM-G900H translates into NO 4G. You have to purchase the S5 SM-G900F in order to get 4G. Same price, too. I have no clue why they are selling a phone as advanced as the S5, WITHOUT 4G, and at the SAME PRICE, no less. Completely mind-boggling. If you HATE 4G, then this phone is for you. ;)",bjorn hansen,Samsung_S5,1
220 of 252 people found the following review helpful,5,http://www.amazon.com/gp/review/R23DH6Z3DVA159/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on April 11, 2014","The Samsung Galaxy S5 offers more of an evolutionary step forward in Samsung's S series smartphones than a revolutionary new phone. There are plenty of new features and advances with the S5 but those who already own a S4 likely will not be rushing to get the S5. I'm coming from an iPhone 4S so the S5 offers a lot of new features for me and provides plenty to love. FEATURES & UPGRADES FROM S4: 1. SIZE: The S5 is slightly larger at 5.59"" x 2.85"" x 0.32"" and weighing in at 5.11 oz compared to the S4 at 5.38"" x 2.75"" x 0.31"" and weighing at 4.59 oz. The S5 is lightweight and feels good in my hand. 2. DURABILITY: If there is one new feature on the S5 that is a game changer it's got to be the IP67 certification. IP67 certified means the S5 has total protection against dust and can survive being underwater for up to 30 minutes at a depth of 1m or less. In order to be protected against water the S5 has a little plastic plug to cover the charging jack on the bottom of the phone. This needs to be in place and the back must be properly snapped into place to prevent water damage. I'm not about to test the IP67 certification however the guys at TechSmartt performed 2 water tests on the S5 that can be viewed on YouTube. First they let the S5 sit in pool at a depth of 1m for 1 hour, not 30 minutes. Second they sent the S5 through a normal wash cycle in a washing machine while in the pocket of a pair of jeans. In both tests, the S5 survived and functioned perfectly afterward. The durability of the S4 came under fire after many people reported cracked screens after minor drops. Samsung stuck with a plastic back for the S5 but did improve upon the durability of the smartphone. In separate drop tests again conducted by TechSmartt, the S5 faired better than the S4 and better than the iPhone 5s. However the S5 didn't fair as well as the durably built HTC One M8. The tests are a decent indication but should also be taken at face value since there is no way to ensure each phone fell the same way. 3. SCREEN: The S5's new screen is nothing short of stunning. The S5 screen is 5.1"" which is slightly larger than the 5.0"" screen on the S4. The resolution remains 1080 x 1920 pixels so the pixel density is slightly less at 432 ppi. The screen does look noticeably better than the S4's screen and has richer colors, better contrast, whiter whites, and blacker blacks than my iPad 3 when viewing identical images. Displaymate who extensively tests smartphone screens said the S5's screen is ""the best performing smartphone display that we have ever tested."" Displaymate's tests indicted the S5 screen is 22% brighter than the S4 and 13% brighter than the Note 3. The S5 also has outstanding color accuracy. In addition it features a Professional Photo Mode that provides an accurate calibration to the Adobe RGB standard, this is a rare feature in consumer displays. 4. CAMERA: The S5 sports a 16MP camera rear camera up from 13MP in the S4. The front facing camera remains pretty much the same at 2.1MP. The S5's 1/2.6"" sensor is larger being closer in size to sensors from P&S cameras than smartphones. The AF is also speedier with the S5 due to its hybrid use of phase detection and contrast detection AF. The S5 is the first camera on a smartphone to use phase detection AF, which is commonly found in DSLR cameras. Other smartphones only use contrast detection AF that simply focuses by measuring the contrast between nearby pixels. This type of AF tends to be slower and not work well if shooting in situations where there isn't much contrast. Phase detection AF however focuses by comparing the actual light received by sensors. COMPARING S5 & 5s IMAGES: Comparing daytime images shot with the S5 against images of the same subject shot with the iPhone 5s, the Samsung's images disappoint in spite of being 16MP vs 8MP with the 5s. At 16MP the S5's resolution is 2988x5312. The images are therefore at a 16:9 ratio. The iPhone 5s's resolution is 2448x3264. The images are therefore at a",JJG,Samsung_S5,2
62 of 70 people found the following review helpful,5,http://www.amazon.com/gp/review/R283PAX47RE2BW/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 7, 2014","It's almost perfect. The only flaw is that the S5 cable will not charge S4 and vice versa ! What is wrong with you techo guys at Samsung. With multiple phones in the house, its a ROYAL PAIN to check which cable is getting plugged into a particular phone. How can a standard be so non-standard ?",Rohit (NZ),Samsung_S5,3
48 of 56 people found the following review helpful,1,http://www.amazon.com/gp/review/RVFDMNFD0M6X5/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on August 13, 2014","It's not much better than a Samsung Galaxy S4. I am an app developer and I use/own many Android and iOS devices and this one has disappointed me the most. First, this unlocked version of mine came with a USB 2.0 cable for some reason whereas the phone actually has a 3.0 port, even though the box was sealed and didn't looked like it was opened to switch the cables. I realized that I should have received a USB 3.0 cable after my return period expired so I had to purchase the 3.0 cable separately. But that's not the reason for my plight. The phone would take an unusually long (6-8 hrs) time to charge upto a 100%. At first I thought it was the USB 2.0 cable which caused such a delay in charging it's ginormous battery, but even with a USB 3.0 cable, things aren't any better. I thought it might be the USB debugging setting that was messing with the cables charging properties, but after looking at it everything seemed normal, but the phone would still take a long long time to charge. Next, I use a 32 GB UHS SD Card with my S4 which I transferred into this phone and the phone is super slow in reading and writing into the SD card. As soon as I pop it back into the S4 it just works fine, the SD card also worked fine on my other devices and my computer as well, so I saved the data and formatted the SD card and then tried to use it in this S5, but same story, it's too damn slow in reading and writing to the SD card. Not to mention other knick-knacks, like the fingerprint scanner. It's just a failed implementation in this device and has terrible use cases. So just like everyone else I disabled that as well. What's the point of a feature if you cannot use it without sacrificing convenience? Also, camera modes doesn't work when camera is launched from lock screen with a pin/password, but this one can be fixed with a software update. The heart rate monitor gives bogus numbers more than 90% of the time and I am a healthy person and I own a separate heart rate and blood pressure monitor. Last but not the least, no LTE is really a bummer. The biggest caveat is : This phone must be used to make a cumulative of 5 mins call from a SIM belonging to the Americas in order for it to be usable in other regions or countries. If the phone is activated using a Non-American SIM, it will cause permanent unwanted changes (unclear as to what change) to the phone at which point it will need to be serviced by Samsung Service center. So if you buy this, use it first with a SIM card that belongs to American carrier (The North, South, Central or Caribbean) in at least a call over 5 minutes or multiple cumulative calls that adds up to more than or equal to 5 minutes. I have bought unlocked phones before, and this is one of the oddest of requirements I have ever seen, plus there is no where that this is mentioned in Black and White until you buy this phone and realize this warning written on a sticker on the box with tiniest fonts available. Overall build quality is good, display is not much better than S4 other than the size. Bottom line is, I have put it up for sale in craigslist already and I would stick with S4 and Note 3 for now. Could be a good buy for first time Samsung users.",Anjan,Samsung_S5,4
30 of 34 people found the following review helpful,5,http://www.amazon.com/gp/review/R31IXS1GD385B6/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 11, 2014",Will not get into technical details. Phone was sent to Turkey and it's been working fine. We didn't even use a US SIM Card and it still worked!,Hakan Kilic,Samsung_S5,5
17 of 21 people found the following review helpful,2,http://www.amazon.com/gp/review/R340S518T4MK4Q/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 2, 2014","When I originally wrote this review, I didn't realize that there were several issues with various features on the phone. Really realized there was a problem when I tried to mute a call yesterday and couldn't. I called Samsung to see what can be done and they said I would have to go through the seller because they won't honor warranties on international products. Luckily, I am still within 30 days so I am returning the phone via the Amazon A-Z return policy. I have listed some of the issues I have observed below and have left my original review below that. The warranty on this phone has to go through to country of origin, which Samsung claims in Levant. I didn't even try it. While in call, the phone was missing the mute, call waiting, 3 way call functions (they appear after factory reset, but I haven't been able to verify that they work. It keeps saying to make sure the back is firmly sealed, even though it is. The gestures do not work most of the time (Pausing/muting music and calls, taking pictures) The pulse reader often won't read The fingerprint reader doesn't want to read Too many issues from the start, especially with no warranty. I assume it would be an amazing phone if all the features worked properly. Great phone. This international unlocked version comes with an international charger which I cannot use in the US, but other than that all my expectations where met. The phone was in a sealed package. It came in perfect condition and all expected accessories were included. I have Straight Talk, so all I had to do was purchase a $6.99 ATT SIM card conversion from Straight Talk and call their customer service to get the APN settings correct and I was good to go. For those who might be struggling with the APN or who just don't want to hassle with customer service, they give me the following info and it worked: Name: STRAIGHT TALK APN: tfdata MMS APN: tfdata MMSC: [...] MMS proxy: mms3.tracfone.com MMS Port: 80",A. Clark,Samsung_S5,6
63 of 83 people found the following review helpful,2,http://www.amazon.com/gp/review/R2CQDPOWUGR9OT/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 3, 2014","The phone arrived on time and in top condition. That being said, I cannot activate it with my Israeli sim, as it keeps popping the ""SIM network unlock PIN"" message, and I do not have a PIN number. I understood that the phone is supposed to be unlocked, but it doesn't seem so. It is very plausible that the problem here is me, not knowing the difference between a sim lock and a device lock, but still I cannot make the phone work, which is very frustrating. Update - It appears that in order for my phone to work internationally, I need to make a ""cumulative call of over five minuted with an American sim"". How am I supposed to do that when I'm 10 flight hours away from America??? Seriously disappointed and unhappy, will probably return it soon if won't find a solution.",Shira,Samsung_S5,7
21 of 26 people found the following review helpful,1,http://www.amazon.com/gp/review/R28TC0O1FLPJIS/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 20, 2014","I received a fake galaxy s5 from this seller, pretty good clone but upon inspection in was not real. Watch a comparison video! Make sure you have a real s5.",Brian Mendez,Samsung_S5,8
6 of 6 people found the following review helpful,1,http://www.amazon.com/gp/review/RIWE3O9C5MOF9/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on July 13, 2014",I just been using the phone for a few days and gets me crazy. I have updated the software. I fully restored. And keep failing. The touch screen sometimes didn't work. The earphone plug keep activated. And a lot problems. I'm from Venezuela. And it's hard to send back to usa. To warranty or something.,Juan Ramos,Samsung_S5,9
5 of 5 people found the following review helpful,5,http://www.amazon.com/gp/review/R3ILYA7EFA9H9L/ref=cm_cr_pr_rvw_ttl?ie=UTF8&ASIN=B00J4TK4B8,"on June 27, 2014",This phone is great! It works on the network in Jamaica and in the US with no problems. I'm really enjoying this phone!,Kerri-Ann S.,Samsung_S5,10
